iter	Passed	Remaining
0	0	81
1	1	71
2	2	67
3	2	60
4	3	59
5	3	57
6	4	56
7	4	54
8	5	54
9	6	54
10	6	53
11	7	52
12	7	51
13	8	50
14	8	50
15	9	49
16	9	48
17	10	47
18	11	47
19	11	47
20	12	47
21	13	46
22	13	46
23	14	45
24	15	45
25	15	44
26	16	43
27	16	42
28	17	42
29	17	41
30	18	41
31	19	40
32	19	39
33	20	39
34	20	38
35	21	37
36	21	37
37	22	36
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	25	32
44	26	32
45	26	31
46	27	31
47	28	30
48	28	30
49	29	29
50	30	29
51	30	28
52	31	27
53	32	27
54	32	26
55	33	26
56	33	25
57	34	25
58	35	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	40	19
67	40	19
68	41	18
69	42	18
70	42	17
71	43	16
72	43	16
73	44	15
74	45	15
75	45	14
76	46	13
77	46	13
78	47	12
79	48	12
80	48	11
81	49	10
82	49	10
83	50	9
84	51	9
85	51	8
86	52	7
87	52	7
88	53	6
89	53	5
90	54	5
91	55	4
92	55	4
93	56	3
94	56	2
95	57	2
96	58	1
97	58	1
98	59	0
99	59	0
